净值日期|单位净值|累计净值|日增长率|申购状态|赎回状态|分红送配
2023-02-24|1.7815|1.7815|0.01%|限制大额申购|开放赎回|nan
2023-02-23|1.7814|1.7814|0.03%|限制大额申购|开放赎回|nan
2023-02-22|1.7809|1.7809|0.03%|限制大额申购|开放赎回|nan
2023-02-21|1.7803|1.7803|-0.04%|限制大额申购|开放赎回|nan
2023-02-20|1.7811|1.7811|-0.04%|限制大额申购|开放赎回|nan
2023-02-17|1.7819|1.7819|0.06%|限制大额申购|开放赎回|nan
2023-02-16|1.7809|1.7809|0.09%|限制大额申购|开放赎回|nan
2023-02-15|1.7793|1.7793|0.05%|限制大额申购|开放赎回|nan
2023-02-14|1.7784|1.7784|0.03%|限制大额申购|开放赎回|nan
2023-02-13|1.7778|1.7778|0.03%|限制大额申购|开放赎回|nan
2023-02-10|1.7772|1.7772|0.05%|限制大额申购|开放赎回|nan
2023-02-09|1.7763|1.7763|0.07%|限制大额申购|开放赎回|nan
2023-02-08|1.7751|1.7751|0.07%|限制大额申购|开放赎回|nan
2023-02-07|1.7738|1.7738|0.03%|限制大额申购|开放赎回|nan
2023-02-06|1.7732|1.7732|0.08%|限制大额申购|开放赎回|nan
2023-02-03|1.7718|1.7718|0.10%|限制大额申购|开放赎回|nan
2023-02-02|1.7700|1.7700|0.05%|限制大额申购|开放赎回|nan
2023-02-01|1.7691|1.7691|0.03%|限制大额申购|开放赎回|nan
2023-01-31|1.7686|1.7686|0.02%|限制大额申购|开放赎回|nan
2023-01-30|1.7682|1.7682|0.08%|限制大额申购|开放赎回|nan
